ResourceID,geom,SITEID,SITENAME,SURVEYNUM,CITY,YEARESTAB,OWNERSHIP,STATUS,CONDITION,SHPOEVAL,D_NRLISTED,PLOTTYPE,CEMTYPE,ETHNICGRP
4b5791cc-535a-4b80-bb3e-7200f310f475,"POLYGON ((-82.311263206 29.6511188850001,-82.311265432 29.6512505640001,-82.311265433 29.6513095390001,-82.311251791 29.651350381,-82.311206414 29.6514275330001,-82.311147394 29.6514956610001,-82.311083841 29.6515773460001,-82.311015712 29.6516500070001,-82.310952158 29.651713559,-82.310906781 29.6517680440001,-82.310843228 29.6518134200001,-82.31077514 29.6518587960001,-82.3101168859999 29.6518588010001,-82.3101168749999 29.651118893,-82.311263206 29.6511188850001))",AL02308,JEWISH CEMETERY,,GAINESVILLE,1872-01-01,Private-individual,Unspecified by Surveyor,Unspecified by surveyor,Not Evaluated by SHPO,,NORM,Religious,"White, Non-Hispanic"
7e455052-f7fa-46b9-be3d-048e4b716d5f,"POLYGON ((-82.286280001 29.5031006460001,-82.2852140379999 29.5030903900001,-82.2851907899999 29.501394729,-82.2862593199999 29.501406354,-82.286280001 29.5031006460001))",AL02372,MICANOPY CEMETERY,,MICANOPY,1826-01-01,Private-corporate-nonprofit,Used for Burials,Well maintained,Eligible for NRHP,,NORM,Community,"African American;White, Non-Hispanic"
699aee5b-3023-4902-b108-5685787dacb5,"POLYGON ((-82.274407298 29.5135172240001,-82.274407308 29.5142315150001,-82.273474483 29.5142315210001,-82.273474473 29.513500423,-82.27392829 29.5135004200001,-82.274407298 29.5135172240001))",AL02891,FRANKLIN CEMETERY,,Micanopy,,Unknown,Maintained But Not Used,"Some areas maintained, other areas negle",Not Evaluated by SHPO,,GV,Community,African American
dcfec7f3-0ab5-460c-a266-327401ff86f1,"POLYGON ((-82.4786176109999 29.8051784990001,-82.477906536 29.8052007420001,-82.477973944 29.8071325110001,-82.476226792 29.8071095130001,-82.476226789 29.806971591,-82.476226759 29.8057302460001,-82.47629569 29.8052015220001,-82.4763188699999 29.80520088,-82.476594532 29.804075089,-82.4774221489999 29.8039371620001,-82.478594615 29.8039601630001,-82.4785946169999 29.8040521120001,-82.4786176109999 29.8051784990001))",AL02929,Newnansville Cemetery,,Alachua,1820-01-01,Unspecified by surveyor,Unspecified by Surveyor,Unspecified by surveyor,Eligible for NRHP,,NORM,Unknown,"African American;White, Non-Hispanic"
67dff458-6375-479f-90d8-aa719fcfebd4,"POLYGON ((-82.489974375 29.80713244,-82.489974396 29.8080059920001,-82.488664001 29.808005999,-82.48866398 29.8071324480001,-82.489974375 29.80713244))",AL02930,Small Cemetery,,Alachua,1820-01-01,Unspecified by surveyor,Unspecified by Surveyor,Unspecified by surveyor,Eligible for NRHP,,GV,Unknown,"White, Non-Hispanic"
e89639bd-ca87-430c-99dd-cb8481ce4a4d,"POLYGON ((-82.48247982 29.805546312,-82.4824798509999 29.8068336310001,-82.480318868 29.8068336440001,-82.480318837 29.805546325,-82.48247982 29.805546312))",AL02931,Union Soldiers Burial,,Alachua,1864-01-01,Unspecified by surveyor,Abandoned,"Not maintained, but can identify",Eligible for NRHP,,GV,Other,Unknown
a4a80a76-2259-4492-810b-3f51e5f2078f,"POLYGON ((-82.5319257419999 29.524659066,-82.5295271209999 29.5262700820001,-82.528936382 29.525602672,-82.5275555009999 29.525579683,-82.527570851 29.5253725640001,-82.527593858 29.525249823,-82.5275938459999 29.5246591280001,-82.5319257419999 29.524659066))",AL03027,LAUREL HILL CEMETERY,3771,ARCHER,1867-01-01,Unspecified by surveyor,Unspecified by Surveyor,Unspecified by surveyor,Not Evaluated by SHPO,,NORM,Community,"White, Non-Hispanic"
6cac7396-929a-4ca3-9daf-ced0c78cfa5d,"POLYGON ((-82.387078171 29.639759886,-82.388293373 29.639762325,-82.388329857 29.6404623870001,-82.387089397 29.6404623870001,-82.387078171 29.639759886))",AL03283,DAYSVILLE COMMUNITY CEMETERY,23182,Gainesville,1907-01-01,Private-corporate-nonprofit,Used for Burials,"Some areas maintained, other areas negle",Ineligible for NRHP,,NORM,Community;Religious,African American
42e3308c-a602-4208-aa17-ff8190250453,"POLYGON ((-82.161238365 29.7911074510001,-82.159454168 29.79111305,-82.15940368 29.790260242,-82.1612832069999 29.790271493,-82.161238365 29.7911074510001))",AL03738,LAUREL GROVE CEMETERY,5986,WALDO,1890-01-01,Private-corporate-nonprofit,Used for Burials,Well maintained,Not Evaluated by SHPO,,NORM,Community,"White, Non-Hispanic"
3d7f5220-00c7-4454-8511-2a34172f6ce3,"POLYGON ((-82.167538884 29.81393116,-82.166043712 29.813902162,-82.1660262839999 29.8130850640001,-82.1675504519999 29.813085066,-82.167538884 29.81393116))",AL03766,US 301 CEMETERY,5986,WALDO,1915-01-01,Private-individual,Used for Burials,Well maintained,Not Evaluated by SHPO,,NORM,Community,"African American;White, Non-Hispanic"
163ff5e3-ce3f-44f3-966a-e801612854c8,"POLYGON ((-82.448944023 29.6714396620001,-82.448574629 29.671454462,-82.448545111 29.6710850860001,-82.4489144629999 29.671085083,-82.448944023 29.6714396620001))",AL03777,ELLIS CEMETERY,,GAINESVILLE,1855-01-01,Private-corporate-for profit,Abandoned,"Some areas maintained, other areas negle",Not Evaluated by SHPO,,NORM,Family,"White, Non-Hispanic"
cb19869e-83bd-4a93-8ce2-ea88fc913e73,"POLYGON ((-82.0727646129999 29.598750454,-82.072789778 29.5993292150001,-82.072160652 29.5993292160001,-82.072085053 29.5955042530001,-82.074274443 29.596284358,-82.0742996989999 29.598498815,-82.074249365 29.59867497,-82.074022864 29.5987253070001,-82.0727646129999 29.598750454))",AL04181,HAWTHORNE CEMETERY,18318,Hawthorne,1886-01-01,Private-corporate-nonprofit,Used for Burials,Well maintained,Eligible for NRHP,2015-05-04,NORM,Community,"White, Non-Hispanic"
334976eb-e57c-431f-af64-cc6eb81f03ab,"POLYGON ((-82.102789163 29.6797612770001,-82.103116297 29.679736088,-82.103367947 29.679786424,-82.1035441129999 29.6799373910001,-82.103594457 29.6801387360001,-82.1036196109999 29.6803903750001,-82.103468643 29.680541342,-82.103166659 29.680616867,-82.102940154 29.680491047,-82.102789179 29.680365185,-82.102763985 29.6802142190001,-82.102763979 29.6800129160001,-82.102789163 29.6797612770001))",AL04258,NELSON CEMETERY,5986,CAMPVILLE,1905-01-01,Unknown,Used for Burials,"Some areas maintained, other areas negle",Not Evaluated by SHPO,,NORM,Community,African American
d32c8881-50ed-42ef-96c7-1dce8663a2e9,"POLYGON ((-82.144797986 29.730215807,-82.143816553 29.7305681170001,-82.1435145949999 29.7299138290001,-82.144571516 29.729611855,-82.144797986 29.730215807))",AL04280,ORANGE HEIGHTS SALUDA CEMETERY,5986,ORANGE HEIGHTS,1878-01-01,Unknown,Used for Burials,Well maintained,Not Evaluated by SHPO,,NORM,Community,"White, Non-Hispanic"
3952fb69-0f6f-4d46-abea-b8b5c2694f82,"POLYGON ((-82.174164114 29.6504700310001,-82.174164117 29.6506461870001,-82.1724529109999 29.650620997,-82.1724528949999 29.6498408890001,-82.17418929 29.649765406,-82.174164114 29.6504700310001))",AL04300,PROVIDENCE METHODIST CHURCH CEMETERY,5986,WINDSOR,1855-01-01,Private-individual,Used for Burials,"Some areas maintained, other areas negle",Not Evaluated by SHPO,,NORM,Religious,"White, Non-Hispanic"
7144f006-5fb8-4bbc-946a-f1fed9976285,"POLYGON ((-82.440177311 29.6599871990001,-82.439271342 29.6600878360001,-82.4392839019999 29.659383253,-82.4401773 29.6594209670001,-82.440177311 29.6599871990001))",AL04352,FORT CLARKE CEMETERY,5986,NEWBERRY,1945-01-01,Private-individual,Used for Burials,"Some areas maintained, other areas negle",Not Evaluated by SHPO,,NORM,Religious,"White, Non-Hispanic"
c640bb55-5122-4b74-be23-236ef5604046,"POLYGON ((-82.424071633 29.674349856,-82.425229255 29.674324701,-82.425128585 29.6747273510001,-82.424826598 29.6748783200001,-82.4245246089999 29.6749538060001,-82.424071644 29.6749286620001,-82.424071633 29.674349856))",AL04353,GREATER LIBERTY HILL UNITED METHODIST,5986,GAINESVILLE,1918-01-01,Private-individual,Used for Burials,"Some areas maintained, other areas negle",Not Evaluated by SHPO,,NORM,Religious,"White, Non-Hispanic"
09b81daa-07b5-4efa-bdbe-cdb02ff20299,"POLYGON ((-82.4210662519999 29.769585089,-82.420248341 29.7696228140001,-82.420223177 29.768993718,-82.4211039589999 29.7689811380001,-82.4210662519999 29.769585089))",AL04367,HAGUE METHODIST CEMETERY,5986,HAGUE,1885-01-01,Private-individual,Used for Burials,Well maintained,Not Evaluated by SHPO,,NORM,Religious,"White, Non-Hispanic"
0eaa69b9-b0c7-4276-82e2-aa63de716a48,"POLYGON ((-82.380399817 29.817586185,-82.3803872249999 29.8185675920001,-82.377958765 29.8185298860001,-82.377908401 29.8175107160001,-82.380399817 29.817586185))",AL04387,ANTIOCH CEMETERY,5986,LA CROSS,1872-01-01,Private-individual,Used for Burials,Well maintained,Not Evaluated by SHPO,,NORM,Religious,"White, Non-Hispanic"
2cfec1d2-2939-4a03-9ac8-0e48436937ec,"POLYGON ((-82.4929890619999 29.745407421,-82.4925990099999 29.745394807,-82.492586398 29.7456213,-82.4921711979999 29.7456338760001,-82.492133418 29.7449418670001,-82.492989053 29.7449670510001,-82.4929890619999 29.745407421))",AL04409,MT NEBO CEMETERY,5986,ALACHUA,1910-01-01,Private-individual,Used for Burials,Well maintained,Not Evaluated by SHPO,,NORM,Religious,African American
